"OID","SUBBASIN","ARSUB","LANDUSE","ARLU","SOIL","ARSO","SLP","ARSLP","SLOPE","UNIQUECOMB","HRU_ID","HRU_GIS"
1,1.00,79434.00,"URMD",3706.31,"AGVKTU",101.25,"0-4.29",91.12,1.96,"1_URMD_AGVKTU_0-4.29",1,"000010001"
2,1.00,79434.00,"URMD",3706.31,"AGVKTU",101.25,"4.29-11.8",10.12,5.72,"1_URMD_AGVKTU_4.29-11.8",2,"000010002"
3,1.00,79434.00,"URMD",3706.31,"BESVL",35.43,"11.8-9999",3.93,12.73,"1_URMD_BESVL_11.8-9999",3,"000010003"
4,1.00,79434.00,"URMD",3706.31,"BESVL",35.43,"0-4.29",15.18,2.12,"1_URMD_BESVL_0-4.29",4,"000010004"
5,1.00,79434.00,"URMD",3706.31,"BESVL",35.43,"4.29-11.8",16.31,8.32,"1_URMD_BESVL_4.29-11.8",5,"000010005"
6,1.00,79434.00,"URMD",3706.31,"BETL",735.75,"11.8-9999",0.56,12.59,"1_URMD_BETL_11.8-9999",6,"000010006"
7,1.00,79434.00,"URMD",3706.31,"BETL",735.75,"0-4.29",583.31,2.10,"1_URMD_BETL_0-4.29",7,"000010007"
8,1.00,79434.00,"URMD",3706.31,"BETL",735.75,"4.29-11.8",151.87,6.05,"1_URMD_BETL_4.29-11.8",8,"000010008"
9,1.00,79434.00,"URMD",3706.31,"BPLVUG",43.87,"0-4.29",36.00,1.77,"1_URMD_BPLVUG_0-4.29",9,"000010009"
10,1.00,79434.00,"URMD",3706.31,"BPLVUG",43.87,"4.29-11.8",7.87,5.91,"1_URMD_BPLVUG_4.29-11.8",10,"000010010"
11,1.00,79434.00,"URMD",3706.31,"FEAL",814.50,"0-4.29",484.31,2.58,"1_URMD_FEAL_0-4.29",11,"000010011"
12,1.00,79434.00,"URMD",3706.31,"FEAL",814.50,"4.29-11.8",322.31,6.24,"1_URMD_FEAL_4.29-11.8",12,"000010012"
13,1.00,79434.00,"URMD",3706.31,"FEAL",814.50,"11.8-9999",7.87,15.21,"1_URMD_FEAL_11.8-9999",13,"000010013"
14,1.00,79434.00,"URMD",3706.31,"LSYKIP",158.62,"0-4.29",100.12,2.26,"1_URMD_LSYKIP_0-4.29",14,"000010014"
15,1.00,79434.00,"URMD",3706.31,"LSYKIP",158.62,"4.29-11.8",51.18,6.50,"1_URMD_LSYKIP_4.29-11.8",15,"000010015"
16,1.00,79434.00,"URMD",3706.31,"LSYKIP",158.62,"11.8-9999",7.31,16.44,"1_URMD_LSYKIP_11.8-9999",16,"000010016"
17,1.00,79434.00,"URMD",3706.31,"NM",29.81,"0-4.29",28.68,1.83,"1_URMD_NM_0-4.29",17,"000010017"
18,1.00,79434.00,"URMD",3706.31,"NM",29.81,"4.29-11.8",1.12,4.93,"1_URMD_NM_4.29-11.8",18,"000010018"
19,1.00,79434.00,"URMD",3706.31,"PBEPGL",2.81,"0-4.29",2.81,1.57,"1_URMD_PBEPGL_0-4.29",19,"000010019"
20,1.00,79434.00,"URMD",3706.31,"TL",1328.62,"4.29-11.8",150.75,5.47,"1_URMD_TL_4.29-11.8",20,"000010020"
21,1.00,79434.00,"URMD",3706.31,"TL",1328.62,"0-4.29",1177.87,2.06,"1_URMD_TL_0-4.29",21,"000010021"
22,1.00,79434.00,"URMD",3706.31,"TLLAEA",193.50,"0-4.29",166.50,1.92,"1_URMD_TLLAEA_0-4.29",22,"000010022"
23,1.00,79434.00,"URMD",3706.31,"TLLAEA",193.50,"4.29-11.8",27.00,5.53,"1_URMD_TLLAEA_4.29-11.8",23,"000010023"
24,1.00,79434.00,"URMD",3706.31,"TPBEL",262.12,"0-4.29",172.68,2.24,"1_URMD_TPBEL_0-4.29",24,"000010024"
25,1.00,79434.00,"URMD",3706.31,"TPBEL",262.12,"4.29-11.8",89.43,6.49,"1_URMD_TPBEL_4.29-11.8",25,"000010025"
26,1.00,79434.00,"BARR",1315.12,"FEAL",901.68,"11.8-9999",235.68,18.63,"1_BARR_FEAL_11.8-9999",26,"000010026"
27,1.00,79434.00,"BARR",1315.12,"FEAL",901.68,"0-4.29",335.25,2.19,"1_BARR_FEAL_0-4.29",27,"000010027"
28,1.00,79434.00,"BARR",1315.12,"FEAL",901.68,"4.29-11.8",330.75,7.69,"1_BARR_FEAL_4.29-11.8",28,"000010028"
29,1.00,79434.00,"BARR",1315.12,"LSYKIP",329.06,"4.29-11.8",125.43,7.62,"1_BARR_LSYKIP_4.29-11.8",29,"000010029"
30,1.00,79434.00,"BARR",1315.12,"LSYKIP",329.06,"11.8-9999",48.37,14.71,"1_BARR_LSYKIP_11.8-9999",30,"000010030"
31,1.00,79434.00,"BARR",1315.12,"LSYKIP",329.06,"0-4.29",155.25,1.96,"1_BARR_LSYKIP_0-4.29",31,"000010031"
32,1.00,79434.00,"BARR",1315.12,"TL",44.43,"4.29-11.8",26.43,6.79,"1_BARR_TL_4.29-11.8",32,"000010032"
33,1.00,79434.00,"BARR",1315.12,"TL",44.43,"0-4.29",16.87,2.25,"1_BARR_TL_0-4.29",33,"000010033"
34,1.00,79434.00,"BARR",1315.12,"TL",44.43,"11.8-9999",1.12,12.17,"1_BARR_TL_11.8-9999",34,"000010034"
35,1.00,79434.00,"BARR",1315.12,"TPBEL",39.93,"4.29-11.8",3.37,6.46,"1_BARR_TPBEL_4.29-11.8",35,"000010035"
36,1.00,79434.00,"BARR",1315.12,"TPBEL",39.93,"0-4.29",36.56,1.94,"1_BARR_TPBEL_0-4.29",36,"000010036"
37,1.00,79434.00,"PAST",3787.31,"AGVKTU",741.37,"4.29-11.8",5.06,4.51,"1_PAST_AGVKTU_4.29-11.8",37,"000010037"
38,1.00,79434.00,"PAST",3787.31,"AGVKTU",741.37,"0-4.29",736.31,0.81,"1_PAST_AGVKTU_0-4.29",38,"000010038"
39,1.00,79434.00,"PAST",3787.31,"BESVL",47.25,"4.29-11.8",30.93,7.40,"1_PAST_BESVL_4.29-11.8",39,"000010039"
40,1.00,79434.00,"PAST",3787.31,"BESVL",47.25,"0-4.29",12.37,3.29,"1_PAST_BESVL_0-4.29",40,"000010040"
41,1.00,79434.00,"PAST",3787.31,"BESVL",47.25,"11.8-9999",3.93,15.92,"1_PAST_BESVL_11.8-9999",41,"000010041"
42,1.00,79434.00,"PAST",3787.31,"BETL",275.62,"11.8-9999",0.56,12.96,"1_PAST_BETL_11.8-9999",42,"000010042"
43,1.00,79434.00,"PAST",3787.31,"BETL",275.62,"4.29-11.8",81.00,6.89,"1_PAST_BETL_4.29-11.8",43,"000010043"
44,1.00,79434.00,"PAST",3787.31,"BETL",275.62,"0-4.29",194.06,1.52,"1_PAST_BETL_0-4.29",44,"000010044"
45,1.00,79434.00,"PAST",3787.31,"FEAL",133.87,"11.8-9999",54.00,16.46,"1_PAST_FEAL_11.8-9999",45,"000010045"
46,1.00,79434.00,"PAST",3787.31,"FEAL",133.87,"0-4.29",10.12,2.34,"1_PAST_FEAL_0-4.29",46,"000010046"
47,1.00,79434.00,"PAST",3787.31,"FEAL",133.87,"4.29-11.8",69.75,7.44,"1_PAST_FEAL_4.29-11.8",47,"000010047"
48,1.00,79434.00,"PAST",3787.31,"LSYKIP",30.37,"11.8-9999",0.56,14.01,"1_PAST_LSYKIP_11.8-9999",48,"000010048"
49,1.00,79434.00,"PAST",3787.31,"LSYKIP",30.37,"4.29-11.8",12.37,6.76,"1_PAST_LSYKIP_4.29-11.8",49,"000010049"
50,1.00,79434.00,"PAST",3787.31,"LSYKIP",30.37,"0-4.29",17.43,1.89,"1_PAST_LSYKIP_0-4.29",50,"000010050"
51,1.00,79434.00,"PAST",3787.31,"NM",2066.06,"0-4.29",2066.06,0.72,"1_PAST_NM_0-4.29",51,"000010051"
52,1.00,79434.00,"PAST",3787.31,"TL",343.12,"4.29-11.8",0.56,5.00,"1_PAST_TL_4.29-11.8",52,"000010052"
53,1.00,79434.00,"PAST",3787.31,"TL",343.12,"0-4.29",342.56,1.00,"1_PAST_TL_0-4.29",53,"000010053"
54,1.00,79434.00,"PAST",3787.31,"TPBEL",149.62,"0-4.29",149.06,1.30,"1_PAST_TPBEL_0-4.29",54,"000010054"
55,1.00,79434.00,"PAST",3787.31,"TPBEL",149.62,"4.29-11.8",0.56,4.55,"1_PAST_TPBEL_4.29-11.8",55,"000010055"
56,1.00,79434.00,"FRSD",4827.37,"BESVL",435.37,"4.29-11.8",250.31,7.56,"1_FRSD_BESVL_4.29-11.8",56,"000010056"
57,1.00,79434.00,"FRSD",4827.37,"BESVL",435.37,"11.8-9999",95.06,15.20,"1_FRSD_BESVL_11.8-9999",57,"000010057"
58,1.00,79434.00,"FRSD",4827.37,"BESVL",435.37,"0-4.29",90.00,2.66,"1_FRSD_BESVL_0-4.29",58,"000010058"
59,1.00,79434.00,"FRSD",4827.37,"BETL",256.50,"0-4.29",107.43,2.41,"1_FRSD_BETL_0-4.29",59,"000010059"
60,1.00,79434.00,"FRSD",4827.37,"BETL",256.50,"4.29-11.8",114.75,7.10,"1_FRSD_BETL_4.29-11.8",60,"000010060"
61,1.00,79434.00,"FRSD",4827.37,"BETL",256.50,"11.8-9999",34.31,16.08,"1_FRSD_BETL_11.8-9999",61,"000010061"
62,1.00,79434.00,"FRSD",4827.37,"FEAL",2615.62,"0-4.29",665.43,2.76,"1_FRSD_FEAL_0-4.29",62,"000010062"
63,1.00,79434.00,"FRSD",4827.37,"FEAL",2615.62,"4.29-11.8",1510.31,7.39,"1_FRSD_FEAL_4.29-11.8",63,"000010063"
64,1.00,79434.00,"FRSD",4827.37,"FEAL",2615.62,"11.8-9999",439.87,17.32,"1_FRSD_FEAL_11.8-9999",64,"000010064"
65,1.00,79434.00,"FRSD",4827.37,"LSYKIP",447.18,"0-4.29",167.06,2.34,"1_FRSD_LSYKIP_0-4.29",65,"000010065"
66,1.00,79434.00,"FRSD",4827.37,"LSYKIP",447.18,"4.29-11.8",206.43,7.56,"1_FRSD_LSYKIP_4.29-11.8",66,"000010066"
67,1.00,79434.00,"FRSD",4827.37,"LSYKIP",447.18,"11.8-9999",73.68,16.61,"1_FRSD_LSYKIP_11.8-9999",67,"000010067"
68,1.00,79434.00,"FRSD",4827.37,"NM",31.50,"0-4.29",31.50,1.38,"1_FRSD_NM_0-4.29",68,"000010068"
69,1.00,79434.00,"FRSD",4827.37,"PBELL",204.18,"4.29-11.8",99.00,6.32,"1_FRSD_PBELL_4.29-11.8",69,"000010069"
70,1.00,79434.00,"FRSD",4827.37,"PBELL",204.18,"0-4.29",102.93,2.79,"1_FRSD_PBELL_0-4.29",70,"000010070"
71,1.00,79434.00,"FRSD",4827.37,"PBELL",204.18,"11.8-9999",2.25,12.60,"1_FRSD_PBELL_11.8-9999",71,"000010071"
72,1.00,79434.00,"FRSD",4827.37,"PBEPGL",236.81,"0-4.29",95.06,2.69,"1_FRSD_PBEPGL_0-4.29",72,"000010072"
73,1.00,79434.00,"FRSD",4827.37,"PBEPGL",236.81,"4.29-11.8",132.75,6.93,"1_FRSD_PBEPGL_4.29-11.8",73,"000010073"
74,1.00,79434.00,"FRSD",4827.37,"PBEPGL",236.81,"11.8-9999",9.00,13.03,"1_FRSD_PBEPGL_11.8-9999",74,"000010074"
75,1.00,79434.00,"FRSD",4827.37,"RVKMD",496.12,"4.29-11.8",221.62,6.87,"1_FRSD_RVKMD_4.29-11.8",75,"000010075"
76,1.00,79434.00,"FRSD",4827.37,"RVKMD",496.12,"11.8-9999",25.87,13.16,"1_FRSD_RVKMD_11.8-9999",76,"000010076"
77,1.00,79434.00,"FRSD",4827.37,"RVKMD",496.12,"0-4.29",248.62,2.41,"1_FRSD_RVKMD_0-4.29",77,"000010077"
78,1.00,79434.00,"FRSD",4827.37,"TL",103.50,"4.29-11.8",54.00,7.34,"1_FRSD_TL_4.29-11.8",78,"000010078"
79,1.00,79434.00,"FRSD",4827.37,"TL",103.50,"0-4.29",41.06,2.53,"1_FRSD_TL_0-4.29",79,"000010079"
80,1.00,79434.00,"FRSD",4827.37,"TL",103.50,"11.8-9999",8.43,17.31,"1_FRSD_TL_11.8-9999",80,"000010080"
81,1.00,79434.00,"FRSD",4827.37,"TPBEL",0.56,"4.29-11.8",0.56,7.07,"1_FRSD_TPBEL_4.29-11.8",81,"000010081"
82,1.00,79434.00,"FRSE",182.25,"FEAL",111.93,"11.8-9999",13.50,14.91,"1_FRSE_FEAL_11.8-9999",82,"000010082"
83,1.00,79434.00,"FRSE",182.25,"FEAL",111.93,"0-4.29",31.50,2.94,"1_FRSE_FEAL_0-4.29",83,"000010083"
84,1.00,79434.00,"FRSE",182.25,"FEAL",111.93,"4.29-11.8",66.93,7.14,"1_FRSE_FEAL_4.29-11.8",84,"000010084"
85,1.00,79434.00,"FRSE",182.25,"PBELL",36.00,"0-4.29",16.87,2.73,"1_FRSE_PBELL_0-4.29",85,"000010085"
86,1.00,79434.00,"FRSE",182.25,"PBELL",36.00,"4.29-11.8",19.12,6.80,"1_FRSE_PBELL_4.29-11.8",86,"000010086"
87,1.00,79434.00,"FRSE",182.25,"RVKMD",34.31,"4.29-11.8",14.62,6.62,"1_FRSE_RVKMD_4.29-11.8",87,"000010087"
88,1.00,79434.00,"FRSE",182.25,"RVKMD",34.31,"0-4.29",19.12,2.84,"1_FRSE_RVKMD_0-4.29",88,"000010088"
89,1.00,79434.00,"FRSE",182.25,"RVKMD",34.31,"11.8-9999",0.56,12.98,"1_FRSE_RVKMD_11.8-9999",89,"000010089"
90,1.00,79434.00,"FRST",476.43,"BETL",57.37,"11.8-9999",9.00,18.50,"1_FRST_BETL_11.8-9999",90,"000010090"
91,1.00,79434.00,"FRST",476.43,"BETL",57.37,"0-4.29",14.06,3.23,"1_FRST_BETL_0-4.29",91,"000010091"
92,1.00,79434.00,"FRST",476.43,"BETL",57.37,"4.29-11.8",34.31,6.89,"1_FRST_BETL_4.29-11.8",92,"000010092"
93,1.00,79434.00,"FRST",476.43,"FEAL",270.56,"4.29-11.8",146.81,7.22,"1_FRST_FEAL_4.29-11.8",93,"000010093"
94,1.00,79434.00,"FRST",476.43,"FEAL",270.56,"0-4.29",83.25,2.77,"1_FRST_FEAL_0-4.29",94,"000010094"
95,1.00,79434.00,"FRST",476.43,"FEAL",270.56,"11.8-9999",40.50,14.96,"1_FRST_FEAL_11.8-9999",95,"000010095"
96,1.00,79434.00,"FRST",476.43,"PBEPGL",74.81,"0-4.29",42.75,2.45,"1_FRST_PBEPGL_0-4.29",96,"000010096"
97,1.00,79434.00,"FRST",476.43,"PBEPGL",74.81,"4.29-11.8",31.50,6.62,"1_FRST_PBEPGL_4.29-11.8",97,"000010097"
98,1.00,79434.00,"FRST",476.43,"PBEPGL",74.81,"11.8-9999",0.56,14.94,"1_FRST_PBEPGL_11.8-9999",98,"000010098"
99,1.00,79434.00,"FRST",476.43,"RVKMD",44.43,"0-4.29",34.87,2.39,"1_FRST_RVKMD_0-4.29",99,"000010099"
100,1.00,79434.00,"FRST",476.43,"RVKMD",44.43,"4.29-11.8",9.56,5.97,"1_FRST_RVKMD_4.29-11.8",100,"000010100"
101,1.00,79434.00,"FRST",476.43,"TL",29.25,"4.29-11.8",20.25,6.78,"1_FRST_TL_4.29-11.8",101,"000010101"
102,1.00,79434.00,"FRST",476.43,"TL",29.25,"0-4.29",9.00,2.90,"1_FRST_TL_0-4.29",102,"000010102"
103,1.00,79434.00,"RNGB",38.81,"BETL",7.87,"0-4.29",5.06,1.57,"1_RNGB_BETL_0-4.29",103,"000010103"
104,1.00,79434.00,"RNGB",38.81,"BETL",7.87,"4.29-11.8",2.81,6.26,"1_RNGB_BETL_4.29-11.8",104,"000010104"
105,1.00,79434.00,"RNGB",38.81,"FEAL",30.93,"4.29-11.8",0.56,4.34,"1_RNGB_FEAL_4.29-11.8",105,"000010105"
106,1.00,79434.00,"RNGB",38.81,"FEAL",30.93,"0-4.29",30.37,2.26,"1_RNGB_FEAL_0-4.29",106,"000010106"
107,1.00,79434.00,"WATR",73.12,"FEAL",47.81,"4.29-11.8",2.25,4.75,"1_WATR_FEAL_4.29-11.8",107,"000010107"
108,1.00,79434.00,"WATR",73.12,"FEAL",47.81,"0-4.29",45.56,1.60,"1_WATR_FEAL_0-4.29",108,"000010108"
109,1.00,79434.00,"WATR",73.12,"LSYKIP",8.43,"0-4.29",6.75,2.63,"1_WATR_LSYKIP_0-4.29",109,"000010109"
110,1.00,79434.00,"WATR",73.12,"LSYKIP",8.43,"4.29-11.8",1.68,4.75,"1_WATR_LSYKIP_4.29-11.8",110,"000010110"
111,1.00,79434.00,"WATR",73.12,"TL",16.87,"4.29-11.8",6.18,6.78,"1_WATR_TL_4.29-11.8",111,"000010111"
112,1.00,79434.00,"WATR",73.12,"TL",16.87,"0-4.29",10.68,1.85,"1_WATR_TL_0-4.29",112,"000010112"
113,1.00,79434.00,"A1XX",65027.25,"AGVKTU",888.75,"0-4.29",834.75,0.96,"1_A1XX_AGVKTU_0-4.29",113,"000010113"
114,1.00,79434.00,"A1XX",65027.25,"AGVKTU",888.75,"4.29-11.8",54.00,5.84,"1_A1XX_AGVKTU_4.29-11.8",114,"000010114"
115,1.00,79434.00,"A1XX",65027.25,"BESVL",120.93,"4.29-11.8",71.43,7.26,"1_A1XX_BESVL_4.29-11.8",115,"000010115"
116,1.00,79434.00,"A1XX",65027.25,"BESVL",120.93,"0-4.29",29.25,2.74,"1_A1XX_BESVL_0-4.29",116,"000010116"
117,1.00,79434.00,"A1XX",65027.25,"BESVL",120.93,"11.8-9999",20.25,16.05,"1_A1XX_BESVL_11.8-9999",117,"000010117"
118,1.00,79434.00,"A1XX",65027.25,"BETL",16030.12,"0-4.29",10686.93,2.18,"1_A1XX_BETL_0-4.29",118,"000010118"
119,1.00,79434.00,"A1XX",65027.25,"BETL",16030.12,"4.29-11.8",5114.25,6.41,"1_A1XX_BETL_4.29-11.8",119,"000010119"
120,1.00,79434.00,"A1XX",65027.25,"BETL",16030.12,"11.8-9999",228.93,14.08,"1_A1XX_BETL_11.8-9999",120,"000010120"
121,1.00,79434.00,"A1XX",65027.25,"BPLVUG",1675.12,"11.8-9999",95.62,15.89,"1_A1XX_BPLVUG_11.8-9999",121,"000010121"
122,1.00,79434.00,"A1XX",65027.25,"BPLVUG",1675.12,"0-4.29",852.75,2.38,"1_A1XX_BPLVUG_0-4.29",122,"000010122"
123,1.00,79434.00,"A1XX",65027.25,"BPLVUG",1675.12,"4.29-11.8",726.75,6.93,"1_A1XX_BPLVUG_4.29-11.8",123,"000010123"
124,1.00,79434.00,"A1XX",65027.25,"FEAL",7520.06,"0-4.29",4060.12,2.55,"1_A1XX_FEAL_0-4.29",124,"000010124"
125,1.00,79434.00,"A1XX",65027.25,"FEAL",7520.06,"4.29-11.8",3113.43,6.77,"1_A1XX_FEAL_4.29-11.8",125,"000010125"
126,1.00,79434.00,"A1XX",65027.25,"FEAL",7520.06,"11.8-9999",346.50,14.25,"1_A1XX_FEAL_11.8-9999",126,"000010126"
127,1.00,79434.00,"A1XX",65027.25,"LSYKIP",1160.43,"4.29-11.8",291.93,6.39,"1_A1XX_LSYKIP_4.29-11.8",127,"000010127"
128,1.00,79434.00,"A1XX",65027.25,"LSYKIP",1160.43,"0-4.29",821.81,2.08,"1_A1XX_LSYKIP_0-4.29",128,"000010128"
129,1.00,79434.00,"A1XX",65027.25,"LSYKIP",1160.43,"11.8-9999",46.68,16.96,"1_A1XX_LSYKIP_11.8-9999",129,"000010129"
130,1.00,79434.00,"A1XX",65027.25,"NM",3110.62,"0-4.29",3007.68,1.08,"1_A1XX_NM_0-4.29",130,"000010130"
131,1.00,79434.00,"A1XX",65027.25,"NM",3110.62,"4.29-11.8",102.93,5.94,"1_A1XX_NM_4.29-11.8",131,"000010131"
132,1.00,79434.00,"A1XX",65027.25,"PBEPGL",101.81,"11.8-9999",4.50,13.68,"1_A1XX_PBEPGL_11.8-9999",132,"000010132"
133,1.00,79434.00,"A1XX",65027.25,"PBEPGL",101.81,"0-4.29",24.18,2.47,"1_A1XX_PBEPGL_0-4.29",133,"000010133"
134,1.00,79434.00,"A1XX",65027.25,"PBEPGL",101.81,"4.29-11.8",73.12,7.05,"1_A1XX_PBEPGL_4.29-11.8",134,"000010134"
135,1.00,79434.00,"A1XX",65027.25,"RVKMD",161.43,"11.8-9999",39.37,15.00,"1_A1XX_RVKMD_11.8-9999",135,"000010135"
136,1.00,79434.00,"A1XX",65027.25,"RVKMD",161.43,"0-4.29",42.18,3.12,"1_A1XX_RVKMD_0-4.29",136,"000010136"
137,1.00,79434.00,"A1XX",65027.25,"RVKMD",161.43,"4.29-11.8",79.87,7.79,"1_A1XX_RVKMD_4.29-11.8",137,"000010137"
138,1.00,79434.00,"A1XX",65027.25,"TL",20953.68,"11.8-9999",59.62,14.92,"1_A1XX_TL_11.8-9999",138,"000010138"
139,1.00,79434.00,"A1XX",65027.25,"TL",20953.68,"0-4.29",18841.50,1.74,"1_A1XX_TL_0-4.29",139,"000010139"
140,1.00,79434.00,"A1XX",65027.25,"TL",20953.68,"4.29-11.8",2052.56,5.86,"1_A1XX_TL_4.29-11.8",140,"000010140"
141,1.00,79434.00,"A1XX",65027.25,"TLLAEA",4245.18,"11.8-9999",4.50,14.25,"1_A1XX_TLLAEA_11.8-9999",141,"000010141"
142,1.00,79434.00,"A1XX",65027.25,"TLLAEA",4245.18,"4.29-11.8",549.00,5.63,"1_A1XX_TLLAEA_4.29-11.8",142,"000010142"
143,1.00,79434.00,"A1XX",65027.25,"TLLAEA",4245.18,"0-4.29",3691.68,1.90,"1_A1XX_TLLAEA_0-4.29",143,"000010143"
144,1.00,79434.00,"A1XX",65027.25,"TPBEL",9059.06,"11.8-9999",38.25,13.61,"1_A1XX_TPBEL_11.8-9999",144,"000010144"
145,1.00,79434.00,"A1XX",65027.25,"TPBEL",9059.06,"0-4.29",7304.62,1.96,"1_A1XX_TPBEL_0-4.29",145,"000010145"
146,1.00,79434.00,"A1XX",65027.25,"TPBEL",9059.06,"4.29-11.8",1716.18,6.11,"1_A1XX_TPBEL_4.29-11.8",146,"000010146"
147,2.00,71575.87,"URMD",5751.56,"AGVKTU",879.18,"0-4.29",722.25,1.71,"2_URMD_AGVKTU_0-4.29",147,"000020001"
148,2.00,71575.87,"URMD",5751.56,"AGVKTU",879.18,"4.29-11.8",153.56,6.38,"2_URMD_AGVKTU_4.29-11.8",148,"000020002"
149,2.00,71575.87,"URMD",5751.56,"AGVKTU",879.18,"11.8-9999",3.37,16.23,"2_URMD_AGVKTU_11.8-9999",149,"000020003"
150,2.00,71575.87,"URMD",5751.56,"AGVLTA",614.81,"0-4.29",455.06,1.63,"2_URMD_AGVLTA_0-4.29",150,"000020004"
151,2.00,71575.87,"URMD",5751.56,"AGVLTA",614.81,"11.8-9999",24.18,16.10,"2_URMD_AGVLTA_11.8-9999",151,"000020005"
152,2.00,71575.87,"URMD",5751.56,"AGVLTA",614.81,"4.29-11.8",135.56,6.65,"2_URMD_AGVLTA_4.29-11.8",152,"000020006"
153,2.00,71575.87,"URMD",5751.56,"BELVSI",108.56,"11.8-9999",9.00,14.56,"2_URMD_BELVSI_11.8-9999",153,"000020007"
154,2.00,71575.87,"URMD",5751.56,"BELVSI",108.56,"4.29-11.8",57.37,6.38,"2_URMD_BELVSI_4.29-11.8",154,"000020008"
155,2.00,71575.87,"URMD",5751.56,"BELVSI",108.56,"0-4.29",42.18,2.85,"2_URMD_BELVSI_0-4.29",155,"000020009"
156,2.00,71575.87,"URMD",5751.56,"BELVTS",563.06,"11.8-9999",124.87,17.93,"2_URMD_BELVTS_11.8-9999",156,"000020010"
157,2.00,71575.87,"URMD",5751.56,"BELVTS",563.06,"4.29-11.8",273.37,7.24,"2_URMD_BELVTS_4.29-11.8",157,"000020011"
158,2.00,71575.87,"URMD",5751.56,"BELVTS",563.06,"0-4.29",164.81,2.75,"2_URMD_BELVTS_0-4.29",158,"000020012"
159,2.00,71575.87,"URMD",5751.56,"BESMMG",101.81,"4.29-11.8",35.43,7.79,"2_URMD_BESMMG_4.29-11.8",159,"000020013"
160,2.00,71575.87,"URMD",5751.56,"BESMMG",101.81,"0-4.29",24.18,2.69,"2_URMD_BESMMG_0-4.29",160,"000020014"
161,2.00,71575.87,"URMD",5751.56,"BESMMG",101.81,"11.8-9999",42.18,24.15,"2_URMD_BESMMG_11.8-9999",161,"000020015"
162,2.00,71575.87,"URMD",5751.56,"BESVL",122.06,"0-4.29",89.43,2.10,"2_URMD_BESVL_0-4.29",162,"000020016"
163,2.00,71575.87,"URMD",5751.56,"BESVL",122.06,"11.8-9999",1.12,13.78,"2_URMD_BESVL_11.8-9999",163,"000020017"
164,2.00,71575.87,"URMD",5751.56,"BESVL",122.06,"4.29-11.8",31.50,6.45,"2_URMD_BESVL_4.29-11.8",164,"000020018"
165,2.00,71575.87,"URMD",5751.56,"BETL",340.31,"11.8-9999",34.87,15.49,"2_URMD_BETL_11.8-9999",165,"000020019"
166,2.00,71575.87,"URMD",5751.56,"BETL",340.31,"4.29-11.8",111.93,7.10,"2_URMD_BETL_4.29-11.8",166,"000020020"
167,2.00,71575.87,"URMD",5751.56,"BETL",340.31,"0-4.29",193.50,2.09,"2_URMD_BETL_0-4.29",167,"000020021"
168,2.00,71575.87,"URMD",5751.56,"FEAL",1174.50,"4.29-11.8",277.31,6.26,"2_URMD_FEAL_4.29-11.8",168,"000020022"
169,2.00,71575.87,"URMD",5751.56,"FEAL",1174.50,"0-4.29",879.18,2.38,"2_URMD_FEAL_0-4.29",169,"000020023"
170,2.00,71575.87,"URMD",5751.56,"FEAL",1174.50,"11.8-9999",18.00,16.20,"2_URMD_FEAL_11.8-9999",170,"000020024"
171,2.00,71575.87,"URMD",5751.56,"LSYKIP",443.81,"0-4.29",369.56,1.53,"2_URMD_LSYKIP_0-4.29",171,"000020025"
172,2.00,71575.87,"URMD",5751.56,"LSYKIP",443.81,"4.29-11.8",68.62,6.35,"2_URMD_LSYKIP_4.29-11.8",172,"000020026"
173,2.00,71575.87,"URMD",5751.56,"LSYKIP",443.81,"11.8-9999",5.62,13.80,"2_URMD_LSYKIP_11.8-9999",173,"000020027"
174,2.00,71575.87,"URMD",5751.56,"NM",262.68,"0-4.29",227.81,1.66,"2_URMD_NM_0-4.29",174,"000020028"
175,2.00,71575.87,"URMD",5751.56,"NM",262.68,"4.29-11.8",34.87,5.79,"2_URMD_NM_4.29-11.8",175,"000020029"
176,2.00,71575.87,"URMD",5751.56,"PBESMM",2.25,"0-4.29",1.68,2.06,"2_URMD_PBESMM_0-4.29",176,"000020030"
177,2.00,71575.87,"URMD",5751.56,"PBESMM",2.25,"4.29-11.8",0.56,8.06,"2_URMD_PBESMM_4.29-11.8",177,"000020031"
178,2.00,71575.87,"URMD",5751.56,"PBLVWS",26.43,"4.29-11.8",2.25,4.88,"2_URMD_PBLVWS_4.29-11.8",178,"000020032"
179,2.00,71575.87,"URMD",5751.56,"PBLVWS",26.43,"0-4.29",24.18,2.16,"2_URMD_PBLVWS_0-4.29",179,"000020033"
180,2.00,71575.87,"URMD",5751.56,"TL",774.56,"0-4.29",709.87,1.76,"2_URMD_TL_0-4.29",180,"000020034"
181,2.00,71575.87,"URMD",5751.56,"TL",774.56,"4.29-11.8",64.12,5.84,"2_URMD_TL_4.29-11.8",181,"000020035"
182,2.00,71575.87,"URMD",5751.56,"TL",774.56,"11.8-9999",0.56,13.99,"2_URMD_TL_11.8-9999",182,"000020036"
183,2.00,71575.87,"URMD",5751.56,"TPBEL",327.37,"4.29-11.8",25.31,5.48,"2_URMD_TPBEL_4.29-11.8",183,"000020037"
184,2.00,71575.87,"URMD",5751.56,"TPBEL",327.37,"0-4.29",302.06,1.75,"2_URMD_TPBEL_0-4.29",184,"000020038"
